,actor,year,plataform
882," carl ""alfalfa"" schweitzer",1948,amazon
883, roland dupree,1948,amazon
884, tommy bond,1948,amazon
885, john phillips,1948,amazon
886, vince barnett,1948,amazon
887, joe allen jr.,1948,amazon
888, charles arnt,1948,amazon
889,grace tamayo,2019,amazon
890, erin webbs,2019,amazon
891,tokimonsta,2021,amazon
892, alison wonderland,2021,amazon
893, nervo,2021,amazon
894, rezz,2021,amazon
895, nightwave,2021,amazon
896, sherelle,2021,amazon
897, tygapaw,2021,amazon
898,d. b. sweeney,2013,amazon
899, logan huffman,2013,amazon
900, charlie carver,2013,amazon
901, natalie imbruglia,2013,amazon
902,roy rogers,1938,amazon
903, smiley burnette,1938,amazon
904, carol hughes,1938,amazon
905, maple city four,1938,amazon
906, guy usher,1938,amazon
907, tom chatterton,1938,amazon
908, kenneth harlan,1938,amazon
909, alden 'stephen' chase,1938,amazon
910, brandon beach,1938,amazon
911, earl dwire,1938,amazon
912, jean fowler,1938,amazon
913, dora clement,1938,amazon
914, dick elliott,1938,amazon
915, burr caruth,1938,amazon
916, slim whitaker,1938,amazon
917, jack rockwell,1938,amazon
918, frankie marvin,1938,amazon
919, roy bucko,1938,amazon
920, fred burns,1938,amazon
921, bob card,1938,amazon
922, tommy coats,1938,amazon
923, tex cooper,1938,amazon
924, art dillard,1938,amazon
925, curley dresden,1938,amazon
926, herman hack,1938,amazon
927, henry hall,1938,amazon
928, earle hodgins,1938,amazon
929, jack ingram,1938,amazon
930, art janes,1938,amazon
931, jane keckley,1938,amazon
932, jack kirk,1938,amazon
933, merrill mccormick,1938,amazon
934, fritz meissner,1938,amazon
935, george montgomery,1938,amazon
936, milburn morante,1938,amazon
937, george morrell,1938,amazon
938, jack o'shea,1938,amazon
939, pat petterson,1938,amazon
940, al rice,1938,amazon
941, duke taylor,1938,amazon
942, trigger,1938,amazon
943, bill wolfe,1938,amazon
944,allen ren,2019,amazon
945, seven tan,2019,amazon
946, han dong,2019,amazon
947,zachary levi,2011,amazon
948,roy rogers,1946,amazon
949," george ""gabby"" hayes",1946,amazon
950, dale evans,1946,amazon
951, douglas dumbrille,1946,amazon
952, leyland hodgson,1946,amazon
953, tristram coffin,1946,amazon
954, rudolph anders,1946,amazon
955, iron eyes cody,1946,amazon
956, bob noland and the sons of the pioneers,1946,amazon
957,claire goose,2014,amazon
958, peter firth,2014,amazon
959, felix scott,2014,amazon
960, pippa haywood,2014,amazon
961,candace owens,2020,amazon
962, larry elder,2020,amazon
963, chad jackson,2020,amazon
964, brandon tatum,2020,amazon
965, rev. jesse lee peterson,2020,amazon
966,doug mckeon,1978,amazon
967, burt young,1978,amazon
968,nick helm,2014,amazon
969, elliot speller-gillott,2014,amazon
970, daisy haggard,2014,amazon
971, con o'neill,2014,amazon
972, esther smith,2014,amazon
973, daniel lawrence taylor,2014,amazon
974, sydney rae white,2014,amazon
975,peter miller,2020,amazon
976,sophie van winden,2020,amazon
977, abbey hoes,2020,amazon
978, mark frost,2020,amazon
979, julian looman,2020,amazon
980,beth lapides,2012,amazon
981, mitch kaplan,2012,amazon
982,corin nemec,2004,amazon
983, ernie reyes jr.,2004,amazon
984, daniella evangelista,2004,amazon
985,sunny singh,2019,amazon
986, maanvi gagroo,2019,amazon
987, karishma sharma,2019,amazon
988, saurabh shukla,2019,amazon
989, gagan arora,2019,amazon
990, aishwarya sakhuja,2019,amazon
991,johnanthonywest.dr.robertm.schoch,2016,amazon
992,jim nichols,2017,amazon
993,dr edgar mitchell,2017,amazon
994, dr. steven greer,2017,amazon
995, richard dolan,2017,amazon
996, robert hastings,2017,amazon
997, stephen bassett,2017,amazon
998, nick pope,2017,amazon
999, jim mars,2017,amazon
1000, robert dean,2017,amazon
1001, peter robins,2017,amazon
1002, wendelle stevens,2017,amazon
1003, linda moulton howe,2017,amazon
1004, stanton friedman,2017,amazon
1005, bud hopkins,2017,amazon
1006, dr. david jacobs,2017,amazon
1007, bruce maccabee,2017,amazon
1008, dr. michael salla,2017,amazon
1009, and many more,2017,amazon
1010,peter coyote,2015,amazon
1011,michael d. swords phd.,2016,amazon
1012, jerome clark,2016,amazon
1013, david jacobs ph.d.,2016,amazon
1014, thomas e. bullard ph.d.,2016,amazon
1015, budd hopkins,2016,amazon
1016, travis walton,2016,amazon
1017, maj. robert friend (usaf rtd.),2016,amazon
1018, bruce maccabee ph.d.,2016,amazon
1019, j. gordon melton ph.d.,2016,amazon
1020, david rudiak,2016,amazon
1021,william j. birnes,2009,amazon
1022,burton richardson,2004,amazon
1023, stanton friedman,2004,amazon
1024,teruyoshi uchimura,2018,amazon
1025, masakazu mimura,2018,amazon
1026, kazuki otake,2018,amazon
1027,lum and abner,1943,amazon
1028, chester lauck,1943,amazon
1029, norris goff,1943,amazon
1030,sin dato,2019,amazon
1031,linda hunt,1993,amazon
1032, brendan fraser,1993,amazon
1033, elisabeth shue,1993,amazon
1034, steve buscemi,1993,amazon
1035, christopher lloyd,1993,amazon
1036, william h. macy,1993,amazon
1037, jeremy piven,1993,amazon
1038, david schwimmer,1993,amazon
1039,will smith,2004,amazon
1040, muhammad ali,2004,amazon
1041, desi arnaz,2004,amazon
1042, bernie mac,2004,amazon
1043, bill cosby,2004,amazon
1044, john amos,2004,amazon
1045, jonelle allen,2004,amazon
1046,sin dato,2014,amazon
1047,otteson family,2019,amazon
1048,ben lugo touitou,2020,amazon
1049, uche nwaefuna,2020,amazon
1050, chioma okafor,2020,amazon
1051, chamberlyne okoro,2020,amazon
1052, chime,2020,amazon
1053, chinenye aniemena,2020,amazon
1054, ike onyema,2020,amazon
1055, vincent okonkwo,2020,amazon
1056,krystal lanae hill,2020,amazon
1057, aqeel ash-shakoor,2020,amazon
1058, dominic ovando,2020,amazon
1059, neisha neshae,2020,amazon
1060,christopher downs,2019,amazon
1061, brooke wolloff,2019,amazon
1062, zac mcdowell,2019,amazon
1063, skyler brigmann,2019,amazon
1064, addie zintel,2019,amazon
1065, alex trugman,2019,amazon
1066, john taylor,2019,amazon
1067, jodi downs,2019,amazon
1068, alan franzenburg,2019,amazon
1069, emily downs,2019,amazon
1070,james spader,1985,amazon
1071, robert downey jr.,1985,amazon
1072, kim richards,1985,amazon
1073, paul mones,1985,amazon
1074,peter ginn,2013,amazon
1075, ruth goodman,2013,amazon
1076, tom pinfold,2013,amazon
1077, geraldine james,2013,amazon
1078,clayton thomas,2018,amazon
1079, chloe hilliard,2018,amazon
1080,nick frost,2020,amazon
1081, malcolm mcdowell,2020,amazon
1082, samson kayo,2020,amazon
1083, susan wokoma,2020,amazon
1084, emma d'arcy,2020,amazon
1085, simon pegg,2020,amazon
1086,chelsea bennett,2018,amazon
1087, suzan marie ghaleb,2018,amazon
1088, danny elacci,2018,amazon
1089,adán medrano,2021,amazon
1090,richard widmark,1991,amazon
1091, dina merrill,1991,amazon
1092, philip bosco,1991,amazon
1093, paul guilfoyle,1991,amazon
1094, steve morley,1991,amazon
1095,sin dato,2014,amazon
1096,sin dato,2019,amazon
1097,ben stiller,2008,amazon
1098, jack black,2008,amazon
1099, robert downey,2008,amazon
1100,brian white,2004,amazon
1101, patrice fisher,2004,amazon
1102, reagan gomez-preston,2004,amazon
1103,ankush chaudhari,2019,amazon
1104, shivani surve,2019,amazon
1105, pallavi patil,2019,amazon
1106,karen black,1975,amazon
1107, robert burton,1975,amazon
1108, john karlen,1975,amazon
1109, george gaynes,1975,amazon
1110, jim storm,1975,amazon
1111, gregory harrison,1975,amazon
1112, kathryn reynolds,1975,amazon
1113, tracy curtis,1975,amazon
1114, orin cannon,1975,amazon
1115, walker edmiston,1975,amazon
1116,kevin shelley,2020,amazon
1117,nathan simmons,2015,amazon
1118, seamus simmons,2015,amazon
1119,sin dato,2019,amazon
1120,johnny simmons,2016,amazon
1121, gabriel luna,2016,amazon
1122, clifton collins,2016,amazon
1123, jr.,2016,amazon
1124,trace lisette,2019,amazon
1125, missi pyle,2019,amazon
1126, tig notaro,2019,amazon
1127, jay duplass,2019,amazon
1128, jerry adler,2019,amazon
1129, gaby hoffmann,2019,amazon
1130, judith light,2019,amazon
1131, richard kind,2019,amazon
1132, michaela watkins,2019,amazon
1133, erik liberman,2019,amazon
1134, jo lambert,2019,amazon
1135, alia shawkat,2019,amazon
1136, cherry jones,2019,amazon
1137, rob huebel,2019,amazon
1138, melora hardin,2019,amazon
1139, leslie margherita,2019,amazon
1140, bradley whitford,2019,amazon
1141, rainn wilson,2019,amazon
1142, jenny o'hara,2019,amazon
1143, kathryn hahn,2019,amazon
1144, amy landecker,2019,amazon
1145,laila ireland,2019,amazon
1146, logan ireland,2019,amazon
1147, jennifer peace,2019,amazon
1148, el cook,2019,amazon
1149, sue fulton,2019,amazon
1150,james caviezel,2012,amazon
1151, james frain,2012,amazon
1152, elisabeth rohm,2012,amazon
1153, harold perrineau,2012,amazon
1154, ryan donowho,2012,amazon
1155,various,2008,amazon
1156,john travolta,2019,amazon
1157, shania twain,2019,amazon
1158, toby sebastian,2019,amazon
1159, rosabell laurenti sellers,2019,amazon
1160, michael madsen,2019,amazon
1161, kevin dunn,2019,amazon
1162,alexi pappas,2017,amazon
1163, chase offerle,2017,amazon
1164, rachel dratch,2017,amazon
1165, andy buckley,2017,amazon
1166, rebecca friday,2017,amazon
1167, sasha spencer atwood,2017,amazon
1168, remy teicher,2017,amazon
1169, nick symmonds,2017,amazon
1170,jazsmin lewis,2007,amazon
1171, richard t. jones,2007,amazon
1172, victor williams,2007,amazon
1173, mari morrow,2007,amazon
1174, aaron d. spears,2007,amazon
1175, marlon young,2007,amazon
1176, jay acovone,2007,amazon
1177, suzanne whang,2007,amazon
1178, amy hunter,2007,amazon
1179, caryn ward,2007,amazon
1180,darshan singh rudel,2019,amazon
1181, inderjeet singh jaijee,2019,amazon
1182, gurpartap singh pannu,2019,amazon
1183, amarjit singh,2019,amazon
1184, balbir singh,2019,amazon
1185, dr nicola cannon,2019,amazon
1186, ranbir singh,2019,amazon
1187,sin dato,2021,amazon
1188,geo beach,2008,amazon
1189,bob probert,2019,amazon
1190, joe kocur,2019,amazon
1191, don cherry,2019,amazon
1192, tie domi,2019,amazon
1193, jeremy roenick,2019,amazon
1194, chris chelios,2019,amazon
1195,ravi teja,2018,amazon
1196, raashi khanna,2018,amazon
1197, seerat kapoor,2018,amazon
1198,jennifer hale,2014,amazon
1199, andrea baker,2014,amazon
1200, katie griffin,2014,amazon
1201, adrian truss,2014,amazon
1202,richard hammond,2012,amazon
1203, amanda byram,2012,amazon
1204,héctor elizondo,2002,amazon
1205, jacqueline obradors,2002,amazon
1206, elizabeth peña,2002,amazon
1207, tamara mello,2002,amazon
1208, raquel welch,2002,amazon
1209, paul rodriguez,2002,amazon
1210, constance marie,2002,amazon
1211,richard carlson,1960,amazon
1212, susan gordon,1960,amazon
1213,rie kugimiya,2009,amazon
1214, junji majima,2009,amazon
1215,jean jennings bartik,2010,amazon
1216, marlyn wescoff meltzer,2010,amazon
1217, shirley melvin,2010,amazon
1218,richard hammond,2013,amazon
1219,richard hammond,2015,amazon
1220, jeremy clarkson,2015,amazon
1221,jeremy clarkson,2013,amazon
1222, richard hammond,2013,amazon
1223,richard hammond,2015,amazon
1224, james may,2015,amazon
1225, jeremy clarkson,2015,amazon
1226,richard hammond,2014,amazon
1227,william fichtner,2017,amazon
1228, tom ford,2017,amazon
1229, antron brown,2017,amazon
1230,babs olusanmokun,2019,amazon
1231, augusto aguilera,2019,amazon
1232, john hawkes,2019,amazon
1233, jena malone,2019,amazon
1234, hart bochner,2019,amazon
1235, nell tiger free,2019,amazon
1236, celestino cornielle,2019,amazon
1237, billy baldwin,2019,amazon
1238, miles teller,2019,amazon
1239,frank morgan,1934,amazon
1240, binnie barnes,1934,amazon
1241, robert taylor,1934,amazon
1242, lois wilson,1934,amazon
1243, alan hale,1934,amazon
1244, margaret hamilton,1934,amazon
1245, louise latimer,1934,amazon
1246, maurice murphy,1934,amazon
1247, helen parrish,1934,amazon
1248, dick winslow,1934,amazon
1249, elizabeth young,1934,amazon
1250,tone bell,2019,amazon
1251,caitlin stasey,2012,amazon
1252, rachel hurd-wood,2012,amazon
1253, lincoln lewis,2012,amazon
1254, phoebe tonkin,2012,amazon
1255, chris pang,2012,amazon
1256, ashleigh cummings,2012,amazon
1257,tommy little,2020,amazon
1258,sin dato,2019,amazon
1259,tom wilson,2009,amazon
1260,tom walker,2020,amazon
1261,kevin charles,2019,amazon
1262,joel courtney,2015,amazon
1263, jake t. austin,2015,amazon
1264, val kilmer,2015,amazon
1265,tom rhodes,2012,amazon
1266,tom papa,2011,amazon
1267,tom papa,2013,amazon
1268,sin dato,2007,amazon
1269,tom green,2012,amazon
1270,tom gleeson,2020,amazon
1271,john krasinski,2019,amazon
1272, wendell pierce,2019,amazon
1273, noomi rapace,2019,amazon
1274, jordi mollá,2019,amazon
1275, francisco denis,2019,amazon
1276, cristina umaña,2019,amazon
1277, john hoogenakker,2019,amazon
1278, jovan adepoand,2019,amazon
1279, michael kelly,2019,amazon
1280,sin dato,1940,amazon
1281,ami tomite,2018,amazon
1282, shinnosuke mitsushima,2018,amazon
1283, megumi kagurazaka,2018,amazon
1284, yumi adachi,2018,amazon
1285, kaho,2018,amazon
1286,asami mizukawa,2018,amazon
1287,aya asahina,2019,amazon
1288, maryjun takahashi,2019,amazon
1289, reina triendl,2019,amazon
1290, mizuki yamamoto,2019,amazon
1291, ryohei otani,2019,amazon
1292,fausto mata,2015,amazon
1293, cuquín victoria,2015,amazon
1294, marío peguero,2015,amazon
1295,sin dato,2005,amazon
1296,todd glass,2012,amazon
1297,cassandra morris,2020,amazon
1298, colleen o'shaugnessey,2020,amazon
1299, corina boettger,2020,amazon
1300, eshan inamdar,2020,amazon
1301, stacy allen,2020,amazon
1302, tara sands,2020,amazon
1303,dawn olivieri,2021,amazon
1304, wilmer valderrama,2021,amazon
1305, paloma guzmán,2021,amazon
1306, skipp sudduth,2021,amazon
1307, tom degnan,2021,amazon
1308, camille saviola,2021,amazon
1309,bud collyer,1961,amazon
1310,santhosh sreeram,2019,amazon
1311, sheela rajkumar,2019,amazon
1312, darun,2019,amazon
1313, aadhira pandiyalakshmi,2019,amazon
1314,cary grant,1955,amazon
1315, grace kelly,1955,amazon
1316, jessie royce landis,1955,amazon
1317, john williams,1955,amazon
1318, charles vanel,1955,amazon
1319, brigitte auber,1955,amazon
1320, jean martinelli,1955,amazon
1321, georgette anys,1955,amazon
1322,sin dato,2008,amazon
1323,tony caprari,2012,amazon
1324,joey dedio,2013,amazon
1325, frankie faison,2013,amazon
1326, kelly mcgillis,2013,amazon
1327, franky g,2013,amazon
1328,sin dato,2020,amazon
1329,tim roth,2019,amazon
1330, christina hendricks,2019,amazon
1331, genevieve o'reilly,2019,amazon
1332,sin dato,2011,amazon
1333,sin dato,2014,amazon
1334,bharath niwas,2020,amazon
1335, priya bhavanishankar,2020,amazon
1336, robo shankar,2020,amazon
1337, karunakaran,2020,amazon
1338, sanjana sarathy,2020,amazon
1339, alexander babu,2020,amazon
1340,bharath niwas,2020,amazon
1341, priya bhavanishankar,2020,amazon
1342, robo shankar,2020,amazon
1343, karunakaran,2020,amazon
1344, sanjana sarathy,2020,amazon
1345, alexander babu,2020,amazon
1346,eleanor brown,2021,amazon
1347, cory kays,2021,amazon
1348, adam dufour,2021,amazon
1349,kermit maynard,1936,amazon
1350, lucille lund,1936,amazon
1351, lawrence gray,1936,amazon
1352, robert warwick,1936,amazon
1353, wheeler oakman,1936,amazon
1354, lloyd ingraham,1936,amazon
1355,richard arlen,1944,amazon
1356, mary beth hughes,1944,amazon
1357, june havoc,1944,amazon
1358, sheldon leonard,1944,amazon
1359, george e. stone,1944,amazon
1360, dick purcell,1944,amazon
1361,tim minchin,2008,amazon
1362,guy pearce,2003,amazon
1363, helena bonham carter,2003,amazon
1364, frank gallacher,2003,amazon
1365, brooke harman,2003,amazon
1366, lindley joyner,2003,amazon
1367, peter curtin,2003,amazon
1368, margot knight,2003,amazon
1369, anthony martin,2003,amazon
1370, dawn klingberg,2003,amazon
1371,sin dato,2007,amazon
1372,salman khan,2017,amazon
1373, katrina kaif,2017,amazon
1374, paresh rawal,2017,amazon
1375, girish karnad,2017,amazon
1376, anant vidhaat,2017,amazon
1377, kumud kumar mishra,2017,amazon
1378, angad bedi,2017,amazon
1379, sajjad delafrooz,2017,amazon
1380,roger pryor,1936,amazon
1381, wendy barrie,1936,amazon
1382, claude gillingwater,1936,amazon
1383, andrew tombes,1936,amazon
1384, luis alberni,1936,amazon
1385, e.e. clive,1936,amazon
1386,tom sizemore,2001,amazon
1387, dennis hopper,2001,amazon
1388, steven seagal,2001,amazon
1389,megan ward,2000,amazon
1390, john ratzenberger,2000,amazon
1391, linden ashby,2000,amazon
1392,sin dato,2007,amazon
1393,rasmus hardiker,2018,amazon
1394, thomas brodie-sangster,2018,amazon
1395, david menkin,2018,amazon
1396, kayvan novak,2018,amazon
1397,sin dato,2013,amazon
1398,sin dato,1985,amazon
1399,fabian,1967,amazon
1400, annette funicello,1967,amazon
1401,amitabh bachchan,2018,amazon
1402, aamir khan,2018,amazon
1403, katrina kaif,2018,amazon
1404, fatima sana shaikh,2018,amazon
1405, md. zeeshan ayyub,2018,amazon
